Unnamed: 0,year,team,wins
9,2013,145,63
10,2013,133,96
11,2013,140,91
12,2013,108,78
13,2013,136,71
14,2013,117,51
15,2013,144,96
16,2013,120,86
17,2013,121,74
18,2013,143,73
19,2013,146,62
20,2013,138,97
21,2013,134,94
22,2013,113,90
23,2013,158,74
24,2013,112,66
25,2013,119,92
26,2013,109,81
27,2013,137,76
28,2013,135,76
29,2013,115,74
0,2014,110,96
1,2014,147,84
2,2014,141,83
3,2014,139,77
4,2014,111,71
5,2014,116,90
6,2014,118,89
7,2014,114,85
8,2014,145,73
9,2014,142,70
10,2014,108,98
11,2014,133,88
12,2014,136,87
13,2014,117,70
14,2014,140,67
15,2014,120,96
16,2014,121,79
17,2014,144,79
18,2014,146,77
19,2014,143,73
20,2014,138,90
21,2014,134,88
22,2014,158,82
23,2014,113,76
24,2014,112,73
25,2014,119,94
26,2014,137,88
27,2014,135,77
28,2014,115,66
29,2014,109,64
0,2015,141,93
1,2015,147,87
2,2015,110,81
3,2015,139,80
4,2015,111,78
5,2015,118,95
6,2015,142,83
7,2015,114,81
8,2015,145,76
9,2015,116,74
10,2015,140,88
11,2015,117,86
12,2015,108,85
13,2015,136,76
14,2015,133,68
15,2015,121,90
16,2015,120,83
17,2015,146,71
18,2015,144,67
19,2015,143,63
20,2015,138,100
21,2015,134,98
22,2015,112,97
23,2015,158,68
24,2015,113,64
25,2015,119,92
26,2015,137,84
27,2015,109,79
28,2015,135,74
29,2015,115,68
0,2016,111,93
1,2016,141,89
2,2016,110,89
3,2016,147,84
4,2016,139,68
5,2016,114,94
6,2016,116,86
7,2016,118,81
8,2016,145,78
9,2016,142,59
10,2016,140,95
11,2016,136,86
12,2016,117,84
13,2016,108,74
14,2016,133,69
15,2016,120,95
16,2016,121,87
17,2016,146,79
18,2016,143,71
19,2016,144,68
20,2016,112,103
21,2016,138,86
22,2016,134,78
23,2016,158,73
24,2016,113,68
25,2016,119,91
26,2016,137,87
27,2016,115,75
28,2016,109,69
29,2016,135,68
0,2017,111,93
1,2017,147,91
2,2017,139,80
3,2017,141,76
4,2017,110,75
5,2017,114,102
6,2017,142,85
7,2017,118,80
8,2017,145,67
9,2017,116,64
10,2017,117,101
11,2017,108,80
12,2017,136,78
13,2017,140,78
14,2017,133,75
15,2017,120,97
16,2017,146,77
17,2017,144,72
18,2017,121,70
19,2017,143,66
20,2017,112,92
21,2017,158,86
22,2017,138,83
23,2017,134,75
24,2017,113,68
25,2017,119,104
26,2017,109,93
27,2017,115,87
28,2017,135,71
29,2017,137,64
0,2018,111,108
1,2018,147,100
2,2018,139,90
3,2018,141,73
4,2018,110,47
5,2018,114,91
6,2018,142,78
7,2018,116,64
8,2018,145,62
9,2018,118,58
10,2018,117,103
11,2018,133,97
12,2018,136,89
13,2018,108,80
14,2018,140,67
15,2018,144,90
16,2018,120,82
17,2018,143,80
18,2018,121,77
19,2018,146,63
20,2018,158,96
21,2018,112,95
22,2018,138,88
23,2018,134,82
24,2018,113,67
25,2018,119,92
26,2018,115,91
27,2018,109,82
28,2018,137,73
29,2018,135,66
0,2019,147,103
1,2019,139,96
2,2019,111,84
3,2019,141,67
4,2019,110,54
5,2019,142,101
6,2019,114,93
7,2019,145,72
8,2019,118,59
9,2019,116,47
10,2019,117,107
11,2019,133,97
12,2019,140,78
13,2019,108,72
14,2019,136,68
15,2019,144,97
16,2019,120,93
17,2019,121,86
18,2019,143,81
19,2019,146,57
20,2019,138,91
21,2019,158,89
22,2019,112,84
23,2019,113,75
24,2019,134,69
25,2019,119,106
26,2019,109,85
27,2019,137,77
28,2019,115,71
29,2019,135,70
0,2021,139,100
1,2021,111,92
2,2021,147,92
3,2021,141,91
4,2021,110,52
5,2021,145,93
6,2021,114,80
7,2021,116,77
8,2021,118,74
9,2021,142,73
10,2021,117,95
11,2021,136,90
12,2021,133,86
13,2021,108,77
14,2021,140,60
15,2021,144,88
16,2021,143,82
17,2021,121,77
18,2021,146,67
19,2021,120,65
20,2021,158,95
21,2021,138,90
22,2021,113,83
23,2021,112,71
24,2021,134,61
25,2021,137,107
26,2021,119,106
27,2021,135,79
28,2021,115,74
29,2021,109,52
0,2022,147,99
1,2022,141,92
2,2022,139,86
3,2022,110,83
4,2022,111,78
5,2022,114,92
6,2022,145,81
7,2022,142,78
8,2022,116,66
9,2022,118,65
10,2022,117,106
11,2022,136,90
12,2022,108,73
13,2022,140,68
14,2022,133,60
15,2022,144,101
16,2022,121,101
17,2022,143,87
18,2022,146,69
19,2022,120,55
20,2022,138,93
21,2022,158,86
22,2022,112,74
23,2022,134,62
24,2022,113,62
25,2022,119,111
26,2022,135,89
27,2022,137,81
28,2022,109,74
29,2022,115,68
0,2023,110,101
1,2023,139,99
2,2023,141,89
3,2023,147,82
4,2023,111,78
5,2023,142,87
6,2023,116,78
7,2023,114,76
8,2023,145,61
9,2023,118,56
10,2023,117,90
11,2023,140,90
12,2023,136,88
13,2023,108,73
14,2023,133,50
15,2023,144,104
16,2023,143,90
17,2023,146,84
18,2023,121,75
19,2023,120,71
20,2023,158,92
21,2023,112,83
22,2023,113,82
23,2023,134,76
24,2023,138,71
25,2023,119,100
26,2023,109,84
27,2023,135,82
28,2023,137,79
29,2023,115,59
0,2024,147,94
1,2024,110,91
2,2024,111,81
3,2024,139,80
4,2024,141,74
5,2024,114,92
6,2024,118,86
7,2024,116,86
8,2024,142,82
9,2024,145,41
10,2024,117,88
11,2024,136,85
12,2024,140,78
13,2024,133,69
14,2024,108,63
15,2024,143,95
16,2024,144,89
17,2024,121,89
18,2024,120,71
19,2024,146,62
20,2024,158,93
21,2024,138,83
22,2024,112,83
23,2024,113,77
24,2024,134,76
25,2024,119,98
26,2024,135,93
27,2024,109,89
28,2024,137,80
29,2024,115,61
0,2025,141,94
1,2025,147,94
2,2025,111,89
3,2025,139,77
4,2025,110,75
5,2025,114,88
6,2025,116,87
7,2025,118,82
8,2025,142,70
9,2025,145,60
10,2025,136,90
11,2025,117,87
12,2025,140,81
13,2025,133,76
14,2025,108,72
15,2025,143,96
16,2025,121,83
17,2025,146,79
18,2025,144,76
19,2025,120,66
20,2025,158,97
21,2025,112,92
22,2025,113,83
23,2025,138,78
24,2025,134,71
25,2025,119,93
26,2025,135,90
27,2025,137,81
28,2025,109,80
29,2025,115,43
